,USD Value,CAD Value,PNL,Post-trading PNL,Post-fee PNL,ETF PNL,EQ PNL,FI PNL,EM PNL,RE PNL,Option PNL,Delta PNL,Vega PNL,Theta PNL,Rho PNL,Unexplained PNL,Return,Post-trading Return,Post-fee Return,ETF Return,EQ Return,FI Return,EM Return,RE Return,Option Return,Delta Return,Vega Return,Theta Return,Rho Return,Unexplained Return,Injection,FX,ETF Fees,ETF Expenses,Option Fees,Option Spread,Total Trading Fees,Advisor Fees,Total Fees,Percentage Trading Fees,Percentage Advisor Fees,Percentage Fees
2017-01-31,280349.3525235081,365306.42031223193,3392.4454654270085,3266.8461892171763,3195.0789579653647,3392.4454654270085,999.4258404259017,716.5957312815008,1777.4959297197493,-101.07203600021603,0.0,0.0,0.0,0.0,0.0,0.0,0.012240278390023625,0.01178710379309611,0.01152816053262029,0.012240278390023625,0.0036060271687982934,0.002585548193295446,0.006413380919054813,-0.0003646778911251897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30304,74.25000000000001,51.34927620976008,0,0,125.59927620976009,71.76723125178293,197.36650746154302,0.00045317459692736,0.00025894326047550947,0.0007121178574028695
2017-02-28,299128.1398322581,397858.3736652932,3937.7612127645407,3816.8868504660204,3741.8716808836325,3937.7612127645407,1020.9762361449029,1433.2699645545217,461.5217982667273,1021.9932137983487,0.0,0.0,0.0,0.0,0.0,0.0,0.014045907997716343,0.013614751794891244,0.013347174328037337,0.014045907997716343,0.0036417998720339162,0.005112442570861076,0.0016462381457721662,0.0036454274090490426,0.0,0.0,0.0,0.0,0.0,0.0,15036.915627866412,1.33006,69.30000000000001,51.574362298525,0,0,120.87436229852501,75.01516958235945,195.88953188088448,0.0004311562028251496,0.00026757746685385767,0.0006987336696790073
2017-03-31,298610.1262970849,397685.9801011947,-386.8024780319538,-443.24165238032583,-518.0135351732024,-386.8024780319538,382.3456801975699,-262.73161969854846,93.73371976666385,-600.1502582976791,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012930996002210315,-0.0014817785201649558,-0.0017317445809802434,-0.0012930996002210315,0.0012782003071057696,-0.0008783246532602392,0.0003133564091269609,-0.0020063316631936568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33179,4.95,51.48917434845258,0,0,56.43917434845258,74.77188279288931,131.21105714134188,0.00018867891994414816,0.0002499660608153385,0.0004386449807594866
2017-04-30,300802.6843832352,410673.8728810557,2399.7337821260444,2266.050768882036,2192.5580861502676,2399.7337821260444,800.1737370738483,1746.7435343032703,-170.43573362159805,23.252244370607514,0.0,0.0,0.0,0.0,0.0,0.0,0.008036344285721133,0.007588660160263716,0.007342544318034605,0.008036344285721133,0.002679660422090849,0.005849579034588561,-0.0005707634089141131,7.786823795611685e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3652600000000001,79.20000000000002,54.48301324393813,0,0,133.68301324393815,73.49268273179001,207.17569597572816,0.00044768412545707827,0.00024611584222925084,0.0006937999676863291
2017-05-31,302153.86642937124,407910.74121831544,1554.6363150103716,1425.837621699262,1351.1820461360621,1554.6363150103716,869.1153105519916,1552.4157590066025,-832.1353007954349,-34.75945375280571,0.0,0.0,0.0,0.0,0.0,0.0,0.005168292690598798,0.0047401093664531935,0.004491921502983054,0.005168292690598798,0.0028893203274898385,0.005160910588912032,-0.0027663825623818563,-0.00011555566342127691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35001,74.25000000000001,54.54869331115344,0,0,128.79869331115344,74.65557556320461,203.45426887435804,0.00042818332414566664,0.00024818786347029497,0.0006763711876159616
2017-06-30,302570.5256884277,392252.42950247764,613.6997661856585,494.50754821504233,416.6592590564396,613.6997661856585,170.18995927455398,-65.51752849674085,-109.65921141741637,618.6865468252654,0.0,0.0,0.0,0.0,0.0,0.0,0.002031083611267015,0.0016366083745966709,0.0013789638503727275,0.002031083611267015,0.000563255937399484,-0.00021683498302033357,-0.00036292506434978657,0.002047587721237663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2964,64.35000000000001,54.84221797072118,0,0,119.19221797072119,77.84828915858195,197.04050712930314,0.0003944752366707923,0.0002576445242238165,0.0006521197608946088
2017-07-31,306006.1803736944,381883.4728591557,3637.8371246638126,3517.443728401966,3435.6546852667234,3637.8371246638126,1000.4264922926159,479.6212467068981,1869.744013636675,288.04537202775464,0.0,0.0,0.0,0.0,0.0,0.0,0.012023104750162874,0.011625202819735447,0.011354888839386179,0.012023104750162874,0.003306424146953448,0.0015851552150217983,0.0061795312328671624,0.0009519941553208976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24796,64.35000000000001,56.043396261901215,0,0,120.39339626190122,81.78904313522108,202.1824393971223,0.0003979019304275409,0.00027031398034930683,0.0006682159107768477
2017-08-31,332194.9163997863,414635.72880272125,10338.357362127863,10254.03909540642,10165.27768307773,10338.357362127863,133.6429611997446,2555.215835858864,7669.767464645665,-20.26889957649837,0.0,0.0,0.0,0.0,0.0,0.0,0.03378479921386775,0.0335092548878726,0.03321919077145408,0.03378479921386775,0.0004367328824422434,0.008350209896866911,0.025064093330661997,-6.623689610368658e-05,0.0,0.0,0.0,0.0,0.0,0.0,16023.458343014172,1.24817,24.8,59.518266721553964,0,0,84.31826672155397,88.76141232867222,173.0796790502262,0.00027554432599558807,0.00029006411641842295,0.000565608442414011
2017-09-30,331781.36130682187,413797.71382186824,-257.62508598156273,-324.839759600698,-413.5550929644378,-257.62508598156273,1099.7594820934028,-1801.545689231105,565.691336069427,-121.53021491324762,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007755238664504995,-0.0009778589122350079,-0.0012449169826149742,-0.0007755238664504995,0.0033105849240928067,-0.005423158514150771,0.0017028898039747093,-0.00036584008036712326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2472,9.9,57.31467361903993,0,0,67.21467361903993,88.7153333637494,155.93000698278934,0.00020233504578423214,0.0002670580703799309,0.00046939311616416306
2017-10-31,331885.59545003757,427744.1119838719,324.2406460365164,190.12744746654062,104.23414321569726,324.2406460365164,1170.2510675985104,74.40306513529504,-703.7021935915109,-216.71129310587276,0.0,0.0,0.0,0.0,0.0,0.0,0.0009772720346899414,0.0005730504170506912,0.00031416515624971275,0.0009772720346899414,0.0035271754356215805,0.00022425329995101568,-0.0021209816935459113,-0.0006531750073370288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28883,74.25000000000001,59.86319856999573,0,0,134.11319856999575,85.89330425084725,220.006502820843,0.0004042216176392492,0.0002588852608010599,0.0006631068784403091
2017-11-30,334124.7510100585,430920.6913776725,2470.374807002605,2325.5725485343137,2239.1555600209394,2470.374807002605,1055.5110428770568,22.04515025546425,491.47266399960426,901.3459498705524,0.0,0.0,0.0,0.0,0.0,0.0,0.007443452927364236,0.00700715120034312,0.006746769340756131,0.007443452927364236,0.0031803460510112878,6.642394414729263e-05,0.0014808496383615754,0.0027158332938443004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2897,84.15000000000002,60.6522584682328,0,0,144.80225846823282,86.41698851335973,231.21924698159256,0.00043630172702096534,0.0002603818595868197,0.000696683586607785
2017-12-31,337155.96645745623,423838.7654336683,3246.2064762182417,3120.672917629825,3031.215447397728,3246.2064762182417,375.3840293102039,1660.120667353127,1242.9245391825752,-32.22275962762433,0.0,0.0,0.0,0.0,0.0,0.0,0.009715552249287027,0.009339843600918663,0.009072106864978835,0.009715552249287027,0.0011234846510933976,0.004968565370672437,0.003719941535085972,-9.643930756465956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2571,64.35000000000001,61.183558588466624,0,0,125.53355858846663,89.45747023208887,214.9910288205555,0.00037570864836854775,0.0002677367359396725,0.0006434453843082202
2018-01-31,338971.73519593244,417436.91245908686,2049.4076310203527,1907.5838374055456,1815.7687384762103,2049.4076310203527,2483.6459073986043,-3239.1135506871797,4010.6533852717694,-1205.7781109628013,0.0,0.0,0.0,0.0,0.0,0.0,0.006078515093633841,0.005657867655283644,0.005385545323592256,0.006078515093633841,0.007366459901316922,-0.009607166631873634,0.011895543262699017,-0.0035763214385083454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23148,79.20000000000002,62.62379361480751,0,0,141.82379361480753,91.81509892933073,233.63889254413826,0.00042064743835017805,0.0002723223316913075,0.0006929697700414855
2018-02-28,345857.3057291819,443783.34327334247,-8512.261077022238,-8611.297504574643,-8701.193186999299,-8512.261077022238,-2564.9401837149053,-3057.7693623284576,-583.0408228442466,-2306.5107081346578,0.0,0.0,0.0,0.0,0.0,0.0,-0.02511200844548877,-0.02540417565965236,-0.025669376775529162,-0.02511200844548877,-0.0075668261314835545,-0.009020720741099567,-0.0017200278439358295,-0.006804433728969905,0.0,0.0,0.0,0.0,0.0,0.0,15586.763720248766,1.28314,39.6,59.4364275523051,0,0,99.0364275523051,89.8956824246663,188.9321099769714,0.0002921672141633286,0.0002652011158768291,0.0005573683300401577
2018-03-31,348288.37621801975,449278.07378619676,2581.2904543645564,2521.1090936998953,2431.0704888378386,2581.2904543645564,-856.4079050205692,2315.300673992635,-156.25557408528766,1278.6532594778,0.0,0.0,0.0,0.0,0.0,0.0,0.007463455048093722,0.007289448717541447,0.007029114170979733,0.007463455048093722,-0.002476188563416283,0.006694381282798735,-0.000451792029536138,0.003697054358247471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28996,0.0,60.18136066453582,0,0,60.18136066453582,90.03860486204907,150.2199655265849,0.00017400633055199906,0.0002603345465616747,0.00043434087711367376
2018-04-30,345582.76542967005,443838.8572966339,-2464.2001808917266,-2615.8553338323836,-2705.6107883497025,-2464.2001808917266,478.90057368326234,-2342.3795651220425,-870.5789448529285,269.85775539998576,0.0,0.0,0.0,0.0,0.0,0.0,-0.007075172038900315,-0.007510601881800749,-0.007768306303326256,-0.007075172038900315,0.001375011646623207,-0.006725402640643315,-0.0024995923042460885,0.0007748112593658928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2843200000000001,89.10000000000002,62.555152940716965,0,0,151.655152940717,89.75545451733939,241.41060745805638,0.0004354298429005988,0.00025770442152555425,0.000693134264426153
2018-05-31,345362.02269956516,447502.8409129615,13.962844402936753,-131.83753278694348,-220.74273010488832,13.962844402936753,328.8274799596111,1809.1930047234637,-3230.866945051359,1106.8093047711882,0.0,0.0,0.0,0.0,0.0,0.0,4.04037637281375e-05,-0.0003814933670752696,-0.000638755031173055,4.04037637281375e-05,0.0009515158533753072,0.0052351945342935646,-0.0093490395594073,0.0032027329354664714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29575,84.15000000000002,61.6503771900165,0,0,145.80037719001652,88.90519731791704,234.70557450793356,0.00042189713080378866,0.0002572616640976856,0.0006791587949014742
