Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
1/31/11,147.8775,70.2549,15.7443,28.2648,35.491,33.8667,81.1031,46.75,89.7228,40.6447,41.4224,45.4986,79.9444,45.5498,86.8052,66.5892,3.0249,92.3245,28.3584,58.7268,49.3511,145.7008,141.7824,123.3656,124.0332,103.0026,155.28014
2/28/11,153.0143,72.7488,16.1763,28.8847,36.599,34.8518,87.0791,49.32,91.0343,41.1444,42.3025,46.8328,83.5582,46.7585,90.9342,67.3613,3.0357,96.597,28.7282,59.6986,50.8673,146.7514,142.1953,123.1104,126.0821,102.8772,156.95814
3/31/11,153.0307,71.0113,15.7752,28.4388,37.2614,35.2845,88.7196,44.12,95.0057,41.237,43.2393,46.9905,82.6416,47.5774,89.4821,65.2954,2.9708,95.1902,29.5774,61.4934,50.3258,148.4965,141.8784,122.9204,126.1177,102.7431,156.1102
4/29/11,157.4627,75.0063,15.7656,29.1781,39.6585,37.1713,89.5306,45.04,95.2631,42.9061,44.4274,50.7386,86.4954,48.5879,94.815,67.2987,3.1869,100.8503,30.4714,61.9278,54.5617,152.0258,144.1022,125.1833,129.0649,103.2922,160.01642
5/31/11,155.6968,73.3516,15.2458,28.8726,40.6376,38.103,85.7827,43.93,92.1988,43.8248,43.1991,48.3248,87.3719,47.2564,96.1863,65.911,3.1869,102.642,31.8497,59.8815,52.7567,152.4284,145.8887,128.3206,133.4818,103.6684,162.04694
6/30/11,153.0675,72.477,14.8267,28.1559,40.1803,37.086,84.1341,45,91.2839,43.7593,42.9624,48.177,84.6586,47.0669,92.9832,63.9625,3.1869,99.124,31.0435,59.8992,51.7409,153.5692,145.2371,127.6712,130.3746,103.6635,160.75242
7/29/11,150.0055,70.7536,14.2906,28.2765,38.5857,36.611,85.3624,46.21,87.8242,43.3541,40.0091,44.5417,84.8411,45.441,94.5748,64.0044,2.9384,100.9559,29.2108,57.474,49.294,159.5563,147.6859,131.7181,136.1303,103.9606,164.65955
8/31/11,141.7589,64.5592,12.9238,26.7755,37.7715,36.6822,76.6419,42.5,81.5146,44.2952,37.3787,39.1074,80.3344,42.249,89.4649,59.7402,2.5387,95.5151,27.9142,54.631,44.4741,160.5814,149.9304,137.8439,149.286,104.3189,165.21782
9/30/11,131.9138,57.5815,11.4518,25.952,36.0756,35.472,65.5885,40.82,64.7263,44.3862,33.8977,33.8964,71.7586,35.2803,79.5118,57.2571,2.5387,84.5723,25.6407,45.1158,39.1868,160.5674,151.0849,140.9251,168.991,104.2135,165.79723
10/31/11,146.3118,63.1251,13.0857,28.6022,38.1562,37.1224,78.1434,40.56,77.6193,46.0101,38.7701,38.1768,81.2233,41.4038,91.06,63.711,2.1606,97.1561,26.609,52.786,44.0437,163.8895,151.2753,139.11,162.5088,104.249,169.95656
11/30/11,145.7172,61.7512,12.4215,28.1734,38.52,38.151,79.4438,40.69,73.4503,46.4853,39.3153,36.5639,78.2434,41.4879,87.463,63.0195,2.1606,93.2693,26.4958,50.6161,42.6912,164.7443,150.7725,139.9137,165.728,104.2959,164.58903
12/30/11,147.2385,60.3841,12.6866,28.1088,39.6634,39.2088,77.8182,39.77,71.9446,48.0356,39.4136,35.0022,81.4457,40.5406,91.52,61.8728,2.1606,97.5843,26.6737,50.1959,41.8955,165.014,152.8174,142.6954,171.4362,104.3496,170.32587
1/31/12,154.0666,63.5661,13.7162,29.8539,40.9325,38.6536,79.5743,41.67,82.2368,46.3001,42.2981,37.4737,86.8219,44.994,97.3323,66.2147,2.5113,103.4488,26.9785,54.7827,44.1803,168.7897,153.9263,143.9255,170.8707,104.4361,173.97913
2/29/12,160.754,66.6383,14.4042,31.9689,41.367,40.1018,84.2909,43.61,86.7245,46.5804,43.4776,39.5312,86.2197,44.7399,96.2949,71.2733,2.7904,102.1564,28.2741,57.3297,46.4154,167.8139,153.9061,142.3432,166.4374,104.2894,176.81828
3/30/12,165.9233,66.9187,15.463,33.4183,43.2196,41.3457,81.0749,44.42,81.0584,47.2204,43.8971,39.5814,90.0858,44.9102,101.2865,74.6035,2.8015,107.3489,28.3311,56.1623,46.3781,166.3715,153.0245,140.0784,159.3903,104.2094,174.30677
4/30/12,164.8156,65.5289,15.1057,33.0416,43.1047,41.467,80.4986,42.52,75.5362,48.0491,43.4219,37.3608,92.4139,44.5458,104.361,72.833,2.7681,110.2904,27.961,53.9337,45.2482,169.338,154.4112,143.593,167.0933,104.4199,176.19216
5/31/12,154.9175,58.2262,13.7156,30.9474,41.5418,40.9817,71.8996,38.81,65.2378,48.3186,40.6765,32.5433,88.5242,41.0837,99.5705,66.6573,2.7681,105.3039,27.0677,47.366,39.8964,172.6338,156.0767,147.7142,182.1771,104.4788,177.52755
6/29/12,161.202,62.3657,14.3952,31.9501,43.9076,42.4722,75.3512,41.48,66.1447,50.3033,42.0457,35.4783,93.2619,43.0994,105.0475,68.4793,2.7681,110.9523,28.891,49.6266,43.0423,171.4749,156.0456,147.0999,179.1107,104.3772,179.07047
7/31/12,163.103,62.4156,14.4198,32.5452,44.3524,43.5227,79.075,39.63,67.1107,51.5681,42.2108,35.1293,95.4427,42.5498,107.022,69.0187,2.3997,113.4214,30.6267,50.309,43.2978,174.4817,158.1708,149.1601,185.9436,104.6075,185.30498
8/31/12,167.1892,64.4129,14.9116,33.9133,44.8723,43.315,81.2094,39.94,67.4562,49.433,42.8591,37.4558,95.7344,43.5391,106.7193,71.7896,2.3997,113.0827,30.9868,49.7822,45.2264,174.0507,158.1713,148.9863,183.4924,104.6149,185.20566
